Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 1,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,66,,3.51%,,26,,36,,,4,,0,,0,,0,,
Total Votes Cast,,"1,065",,56.71%,,428,,582,,,48,,0,,3,,4,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,813,,43.29%,,236,,541,,,33,,0,,1,,2,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,635,,33.81%,,241,,368,,,23,,0,,1,,2,,
DEM DEBORAH STILES,,"1,165",,62.03%,,389,,715,,,55,,0,,3,,3,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.05%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,801",,95.90%,,631,,"1,083",,,78,,0,,4,,5,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,77,,4.10%,,33,,40,,,3,,0,,0,,1,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,FOR ATTORNEY GENERAL,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
"REP JOHN ""JB"" McCUSKEY",,549,,29.23%,,207,,319,,,19,,0,,1,,3,,
DEM TERESA TORISEVA,,"1,247",,66.40%,,420,,762,,,60,,0,,3,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.05%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,797",,95.69%,,628,,"1,081",,,79,,0,,4,,5,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,81,,4.31%,,36,,42,,,2,,0,,0,,1,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,9,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2A,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 13TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP REBECCA POLIS,,489,,26.04%,,196,,276,,,15,,0,,1,,1,,
DEM JOEY GARCIA,,"1,314",,69.97%,,434,,810,,,63,,0,,3,,4,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.05%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,804",,96.06%,,630,,"1,087",,,78,,0,,4,,5,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,74,,3.94%,,34,,36,,,3,,0,,0,,1,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,FOR MEMBER OF HOUSE OF DELEGATES 79TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
DEM EVAN HANSEN,,"1,574",,83.81%,,559,,937,,,70,,0,,3,,5,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,22,,1.17%,,11,,11,,,0,,0,,0,,0,,
Total Votes Cast,,"1,596",,84.98%,,570,,948,,,70,,0,,3,,5,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,282,,15.02%,,94,,175,,,11,,0,,1,,1,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,513,,27.32%,,197,,295,,,18,,0,,0,,3,,
DEM TOM  BLOOM,,"1,265",,67.36%,,427,,773,,,58,,0,,4,,3,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,0.16%,,3,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,781",,94.83%,,627,,"1,068",,,76,,0,,4,,6,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,97,,5.17%,,37,,55,,,5,,0,,0,,0,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,10,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2A,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,"1,534",,81.68%,,544,,912,,,70,,0,,4,,4,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,28,,1.49%,,13,,15,,,0,,0,,0,,0,,
Total Votes Cast,,"1,562",,83.17%,,557,,927,,,70,,0,,4,,4,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,316,,16.83%,,107,,196,,,11,,0,,0,,2,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,FOR SHERIFF,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JASON MORGAN,,504,,26.84%,,205,,276,,,20,,0,,1,,2,,
DEM TODD FORBES,,"1,292",,68.80%,,427,,798,,,60,,0,,3,,4,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.05%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,797",,95.69%,,633,,"1,074",,,80,,0,,4,,6,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,81,,4.31%,,31,,49,,,1,,0,,0,,0,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,FOR ASSESSOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RICH JACOBS,,384,,20.45%,,141,,228,,,11,,0,,1,,3,,
DEM MARK A. MUSICK,,"1,433",,76.30%,,493,,867,,,67,,0,,3,,3,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,817",,96.75%,,634,,"1,095",,,78,,0,,4,,6,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,61,,3.25%,,30,,28,,,3,,0,,0,,0,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,11,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2A,,,,,,,,,,,,,,,,,,,
,FOR SURVEYOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP BOB ANDRIOTTO,,"1,055",,56.18%,,408,,593,,,46,,0,,3,,5,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,45,,2.40%,,21,,22,,,2,,0,,0,,0,,
Total Votes Cast,,"1,100",,58.57%,,429,,615,,,48,,0,,3,,5,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,778,,41.43%,,235,,508,,,33,,0,,1,,1,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
,AMENDMENT NO. 1,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
For,,447,,23.80%,,174,,251,,,21,,0,,1,,0,,
Against,,"1,273",,67.78%,,427,,783,,,57,,0,,3,,3,,
Total Votes Cast,,"1,720",,91.59%,,601,,"1,034",,,78,,0,,4,,3,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,158,,8.41%,,63,,89,,,3,,0,,0,,3,,
Contest Totals,,"1,878",,100.00%,,664,,"1,123",,,81,,0,,4,,6,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,12,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2B,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Registered Voters - Total,,"2,337",,,,,,,,,,,,,,,,,
Ballots Cast - Total,,"1,530",,553,,930,,39,,,0,,6,,2,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,0,,0,,0,,,,
Voter Turnout - Total,,65.47%,,,,,,,,,,,,,,,,,
,FOR PRESIDENT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP DONALD J. TRUMP,,390,,25.49%,,138,,238,,,10,,0,,3,,1,,
DEM KAMALA D. HARRIS,,"1,063",,69.48%,,378,,656,,,27,,0,,1,,1,,
LBN CHASE OLIVER,,9,,0.59%,,6,,3,,,0,,0,,0,,0,,
MTN JILL STEIN,,22,,1.44%,,10,,11,,,0,,0,,1,,0,,
IND ROBERT F. KENNEDY JR.,,18,,1.18%,,7,,10,,,1,,0,,0,,0,,
Write-In Totals,,16,,1.05%,,8,,8,,,0,,0,,0,,0,,
Total Votes Cast,,"1,518",,99.22%,,547,,926,,,38,,0,,5,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,12,,0.78%,,6,,4,,,1,,0,,1,,0,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR U.S. SENATOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JIM JUSTICE,,406,,26.54%,,146,,241,,,14,,0,,4,,1,,
DEM GLENN ELLIOTT,,"1,039",,67.91%,,368,,644,,,25,,0,,2,,0,,
LBN DAVID MORAN,,55,,3.59%,,25,,30,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,0.13%,,1,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,502",,98.17%,,540,,916,,,39,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,28,,1.83%,,13,,14,,,0,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR U.S. HOUSE OF REPS 2ND DIST,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RILEY MOORE,,432,,28.24%,,145,,269,,,15,,0,,3,,0,,
DEM STEVEN WENDELIN,,"1,038",,67.84%,,375,,637,,,22,,0,,3,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.07%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,471",,96.14%,,521,,906,,,37,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,59,,3.86%,,32,,24,,,2,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,13,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2B,,,,,,,,,,,,,,,,,,,
,FOR GOVERNOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP PATRICK MORRISEY,,370,,24.18%,,127,,225,,,14,,0,,4,,0,,
DEM STEVE WILLIAMS,,"1,045",,68.30%,,369,,650,,,23,,0,,2,,1,,
LBN ERIKA KLIE KOLENICH,,49,,3.20%,,21,,26,,,2,,0,,0,,0,,
MTN CHASE LINKO-LOOPER,,24,,1.57%,,12,,12,,,0,,0,,0,,0,,
CST S. MARSHALL WILSON,,6,,0.39%,,3,,3,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.07%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,495",,97.71%,,533,,916,,,39,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,35,,2.29%,,20,,14,,,0,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR SECRETARY OF STATE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KRIS WARNER,,437,,28.56%,,145,,274,,,14,,0,,4,,0,,
DEM THORNTON COOPER,,"1,044",,68.24%,,381,,636,,,24,,0,,2,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.07%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,482",,96.86%,,526,,911,,,38,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,48,,3.14%,,27,,19,,,1,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR AUDITOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARK HUNT,,402,,26.27%,,136,,252,,,10,,0,,3,,1,,
DEM MARY ANN ROEBUCK CLAYTOR,,"1,058",,69.15%,,383,,644,,,28,,0,,3,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,460",,95.42%,,519,,896,,,38,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,70,,4.58%,,34,,34,,,1,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,14,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2B,,,,,,,,,,,,,,,,,,,
,FOR TREASURER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP LARRY PACK,,831,,54.31%,,317,,481,,,27,,0,,5,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,69,,4.51%,,28,,39,,,2,,0,,0,,0,,
Total Votes Cast,,900,,58.82%,,345,,520,,,29,,0,,5,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,630,,41.18%,,208,,410,,,10,,0,,1,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,472,,30.85%,,156,,298,,,15,,0,,3,,0,,
DEM DEBORAH STILES,,993,,64.90%,,366,,600,,,23,,0,,3,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,465",,95.75%,,522,,898,,,38,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,65,,4.25%,,31,,32,,,1,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR ATTORNEY GENERAL,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
"REP JOHN ""JB"" McCUSKEY",,439,,28.69%,,150,,269,,,15,,0,,4,,1,,
DEM TERESA TORISEVA,,"1,029",,67.25%,,372,,633,,,22,,0,,2,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.07%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,469",,96.01%,,522,,903,,,37,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,61,,3.99%,,31,,27,,,2,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,15,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2B,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 13TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP REBECCA POLIS,,367,,23.99%,,124,,228,,,11,,0,,4,,0,,
DEM JOEY GARCIA,,"1,102",,72.03%,,400,,672,,,28,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,469",,96.01%,,524,,900,,,39,,0,,5,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,61,,3.99%,,29,,30,,,0,,0,,1,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR MEMBER OF HOUSE OF DELEGATES 79TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
DEM EVAN HANSEN,,"1,290",,84.31%,,460,,790,,,34,,0,,5,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,15,,0.98%,,9,,6,,,0,,0,,0,,0,,
Total Votes Cast,,"1,305",,85.29%,,469,,796,,,34,,0,,5,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,225,,14.71%,,84,,134,,,5,,0,,1,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,367,,23.99%,,126,,228,,,10,,0,,3,,0,,
DEM TOM  BLOOM,,"1,092",,71.37%,,390,,670,,,28,,0,,3,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,0.20%,,2,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,462",,95.56%,,518,,899,,,38,,0,,6,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,68,,4.44%,,35,,31,,,1,,0,,0,,1,,
Contest Totals,,"1,530",,100.00%,,553,,930,,,39,,0,,6,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,16,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 2B,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,"1,266",,82.75%,,453,,776,,,31,,0,,5,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,12,,0.78%,,6,,5,,,1,,0,,0,,0,,
Total Votes Cast,,"1,278",,83.53%,,459,,781,,,32,,0,,5,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,252,,16.47%,,94,,149,,,7,,0,,1,,1,,
